Freq Amp Phase Re(H) Im(H) GroupDelay PhaseDelay 20Log10(Amp)
1.000000e+000 1.001659e+000 -1.780533e-001 9.858227e-001 -1.774077e-001 1.780533e-001 -2.833806e-002 1.439423e-002
2.000000e+000 1.001813e+000 -3.567074e-001 9.387508e-001 -3.498239e-001 1.786541e-001 -2.838587e-002 1.573561e-002
3.000000e+000 1.006833e+000 -5.393912e-001 8.638845e-001 -5.171233e-001 1.826839e-001 -2.861559e-002 5.914967e-002
4.000000e+000 1.010310e+000 -7.251066e-001 7.561453e-001 -6.700532e-001 1.857154e-001 -2.885107e-002 8.909553e-002
5.000000e+000 1.010780e+000 -9.124180e-001 6.184303e-001 -7.995120e-001 1.873114e-001 -2.904317e-002 9.313004e-002
6.000000e+000 1.010686e+000 -1.103579e+000 4.552164e-001 -9.023664e-001 1.911615e-001 -2.927335e-002 9.232856e-002
7.000000e+000 1.010258e+000 -1.301026e+000 2.692443e-001 -9.737186e-001 1.974461e-001 -2.958066e-002 8.864270e-002
8.000000e+000 1.007768e+000 -1.501662e+000 6.961594e-002 -1.005361e+000 2.006364e-001 -2.987462e-002 6.721509e-002
9.000000e+000 1.004021e+000 -1.708163e+000 -1.374853e-001 -9.945637e-001 2.065006e-001 -3.020695e-002 3.486022e-002
1.000000e+001 1.000491e+000 -1.917023e+000 -3.395176e-001 -9.411219e-001 2.088605e-001 -3.051037e-002 4.265404e-003
1.100000e+001 9.999633e-001 -2.129758e+000 -5.302870e-001 -8.477749e-001 2.127353e-001 -3.081469e-002 -3.189650e-004
1.200000e+001 1.001295e+000 -2.354144e+000 -7.065690e-001 -7.094726e-001 2.243856e-001 -3.122280e-002 1.123882e-002
1.300000e+001 1.004556e+000 -2.592305e+000 -8.567821e-001 -5.244584e-001 2.381608e-001 -3.173678e-002 3.948045e-002
1.400000e+001 1.009603e+000 -2.847890e+000 -9.663699e-001 -2.922785e-001 2.555850e-001 -3.237541e-002 8.300996e-002
1.500000e+001 1.011478e+000 -3.125153e+000 -1.011341e+000 -1.662753e-002 2.772633e-001 -3.315890e-002 9.912871e-002
1.600000e+001 1.010750e+000 2.857572e+000 -9.702556e-001 2.832299e-001 2.675812e-001 2.842479e-002 9.287273e-002
1.700000e+001 1.006865e+000 2.529506e+000 -8.240697e-001 5.785208e-001 3.280655e-001 2.368138e-002 5.942483e-002
1.800000e+001 1.002705e+000 2.167884e+000 -5.637571e-001 8.292136e-001 3.616225e-001 1.916830e-002 2.346354e-002
1.900000e+001 1.006699e+000 1.751197e+000 -1.806259e-001 9.903618e-001 4.166866e-001 1.466904e-002 5.799002e-002
2.000000e+001 1.001648e+000 1.187223e+000 3.748532e-001 9.288614e-001 5.639742e-001 9.447621e-003 1.430138e-002
2.100000e+001 8.257595e-001 4.338687e-001 7.492498e-001 3.471363e-001 7.533543e-001 3.288207e-003 -1.662928e+000
2.200000e+001 4.799384e-001 -2.606582e-001 4.637264e-001 -1.236881e-001 1.732105e-001 -1.885684e-003 -6.376290e+000
2.300000e+001 2.454967e-001 -7.114017e-001 1.859508e-001 -1.602838e-001 4.507434e-001 -4.922743e-003 -1.219909e+001
2.400000e+001 1.270632e-001 -1.001253e+000 6.851854e-002 -1.070059e-001 2.898512e-001 -6.639764e-003 -1.791960e+001
2.500000e+001 6.748300e-002 -1.206799e+000 2.402480e-002 -6.306159e-002 2.055460e-001 -7.682720e-003 -2.341611e+001
