x filter(x) xRef y_RA_100 y_RA_256
90.388594 0.117057 84.999975 0.894937 0.353080
90.762577 0.115617 84.999901 1.784715 0.706243
91.112564 0.114717 84.999778 2.669149 1.059392
91.429642 0.114336 84.999605 3.547966 1.412401
91.705592 0.114457 84.999383 4.420814 1.765109
91.933091 0.115062 84.999112 5.287272 2.117327
92.105891 0.116136 84.998791 6.146862 2.468845
92.218978 0.117666 84.998421 6.999062 2.819432
92.268691 0.119640 84.998002 7.843315 3.168843
92.252815 0.122048 84.997533 8.679053 3.516827
92.170639 0.124884 84.997015 9.505702 3.863131
92.022971 0.128142 84.996447 10.322705 4.207506
91.812120 0.131818 84.995831 11.129531 4.549711
91.541842 0.135910 84.995165 11.925692 4.889524
91.217249 0.140418 84.994449 12.710757 5.226742
90.844681 0.145344 84.993685 13.484360 5.561187
90.431557 0.150691 84.992871 14.246214 5.892712
89.986190 0.156462 84.992008 14.996115 6.221202
89.517584 0.162663 84.991095 15.733951 6.546578
89.035219 0.169298 84.990134 16.459706 6.868800
88.548812 0.176374 84.989123 17.173460 7.187862
88.068086 0.183896 84.988063 17.875387 7.503801
87.602532 0.191870 84.986953 18.565754 7.816686
87.161175 0.200301 84.985795 19.244917 8.126626
86.752354 0.209195 84.984587 19.913307 8.433757
86.383523 0.218555 84.983330 20.571428 8.738249
86.061066 0.228385 84.982023 21.219841 9.040291
85.790147 0.238685 84.980668 21.859151 9.340095
85.574578 0.249457 84.979264 22.489996 9.637886
85.416736 0.260700 84.977810 23.113033 9.933897
85.317503 0.272413 84.976307 23.728919 10.228364
85.276248 0.284591 84.974755 24.338299 10.521520
85.290845 0.297230 84.973154 24.941789 10.813588
85.357730 0.310325 84.971504 25.539967 11.104776
85.471990 0.323869 84.969805 26.133353 11.395273
85.627490 0.337854 84.968057 26.722404 11.685242
85.817022 0.352271 84.966259 27.307499 11.974820
86.032493 0.367113 84.964413 27.888935 12.264107
86.265121 0.382368 84.962518 28.466917 12.553174
86.505658 0.398029 84.960574 29.041558 12.842051
86.744622 0.414086 84.958580 29.612875 13.130733
86.972530 0.430530 84.956538 30.180793 13.419177
87.180140 0.447354 84.954447 30.745143 13.707306
87.358677 0.464550 84.952307 31.305673 13.995007
87.500058 0.482113 84.950118 31.862053 14.282136
87.597089 0.500038 84.947881 32.413885 14.568522
87.643652 0.518321 84.945594 32.960714 14.853972
87.634853 0.536963 84.943259 33.502042 15.138272
87.567149 0.555961 84.940875 34.037341 15.421198
87.438442 0.575320 84.938442 34.566064 15.702515
87.248127 0.595041 84.935960 35.087669 15.981990
86.997118 0.615132 84.933430 35.601624 16.259393
86.687825 0.635599 84.930851 36.107428 16.534504
86.324099 0.656451 84.928223 36.604623 16.807120
85.911141 0.677699 84.925547 37.092806 17.077057
85.455378 0.699354 84.922822 37.571643 17.344160
84.964308 0.721429 84.920048 38.040878 17.608301
84.446319 0.743938 84.917226 38.500337 17.869387
83.910486 0.766896 84.914355 38.949943 18.127360
83.366351 0.790317 84.911436 39.389709 18.382200
82.823693 0.814216 84.908469 39.819749 18.633925
82.292287 0.838609 84.905453 40.240269 18.882590
81.781672 0.863510 84.902388 40.651570 19.128290
81.300916 0.888933 84.899275 41.054039 19.371151
80.858395 0.914893 84.896114 41.448141 19.611336
80.461594 0.941400 84.892905 41.834413 19.849032
80.116923 0.968467 84.889647 42.213448 20.084454
79.829565 0.996103 84.886341 42.585885 20.317833
79.603349 1.024317 84.882986 42.952394 20.549417
79.440658 1.053116 84.879584 43.313664 20.779461
79.342377 1.082505 84.876133 43.670384 21.008222
79.307873 1.112490 84.872634 44.023230 21.235955
79.335012 1.143071 84.869087 44.372852 21.462905
79.420215 1.174252 84.865493 44.719856 21.689301
79.558549 1.206032 84.861850 45.064793 21.915352
79.743852 1.238410 84.858159 45.408150 22.141245
79.968888 1.271384 84.854420 45.750336 22.367134
80.225524 1.304953 84.850633 46.091674 22.593144
80.504937 1.339112 84.846798 46.432400 22.819361
80.797831 1.373859 84.842916 46.772651 23.045840
81.094669 1.409192 84.838986 47.112473 23.272593
81.385910 1.445106 84.835007 47.451814 23.499598
81.662248 1.481601 84.830982 47.790531 23.726796
81.914838 1.518674 84.826908 48.128396 23.954093
82.135521 1.556326 84.822787 48.465100 24.181364
82.317026 1.594557 84.818618 48.800268 24.408457
82.453145 1.633369 84.814402 49.133464 24.635194
82.538897 1.672766 84.810138 49.464211 24.861380
82.570644 1.712753 84.805827 49.791998 25.086807
82.546186 1.753336 84.801468 50.116297 25.311258
82.464815 1.794526 84.797062 50.436579 25.534514
82.327334 1.836330 84.792609 50.752329 25.756361
82.136041 1.878762 84.788108 51.063059 25.976594
81.894666 1.921835 84.783560 51.368322 26.195024
81.608290 1.965562 84.778965 51.667728 26.411482
81.283212 2.009961 84.774323 51.960951 26.625825
80.926800 2.055046 84.769633 52.247741 26.837938
80.547306 2.100838 84.764897 52.527935 27.047740
80.153666 2.147354 84.760113 52.801457 27.255185
79.755283 2.194611 84.755283 53.068327 27.460263
79.361786 2.242629 84.750405 53.328658 27.663004
78.982805 2.291426 84.745481 53.582659 27.863472
78.627723 2.341021 84.740510 53.830630 28.061770
78.305455 2.391430 84.735492 54.072955 28.258034
78.024218 2.442670 84.730427 54.310096 28.452433
77.791337 2.494756 84.725315 54.542584 28.645163
77.613057 2.547702 84.720157 54.771004 28.836444
77.494396 2.601523 84.714953 54.995989 29.026514
77.439012 2.656226 84.709702 55.218197 29.215626
77.449121 2.711823 84.704404 55.438305 29.404038
77.525435 2.768324 84.699060 55.656989 29.592012
77.667146 2.825732 84.693669 55.874912 29.779805
77.871943 2.884054 84.688232 56.092704 29.967665
78.136072 2.943291 84.682749 56.310955 30.155823
78.454421 3.003449 84.677220 56.530197 30.344490
78.820648 3.064526 84.671645 56.750895 30.533850
79.227337 3.126524 84.666023 56.973434 30.724058
79.666173 3.189440 84.660356 57.198115 30.915239
80.128153 3.253275 84.654642 57.425145 31.107477
80.603797 3.318026 84.648882 57.654636 31.300822
